scraped_at,sldc_ts,frequency,escom,biomass_mw,cogen_mw,minihydro_mw,wind_mw,solar_mw,grid_drawal_mw,total_mw
2026-05-07T17:03:58,07/05/2026 17:00:01,49.99,TOTAL_IPPS,9.0,164.0,69.0,670.0,1828.0,2749.0,2740.0
2026-05-07T17:04:57,07/05/2026 17:00:01,49.99,BESCOM,6.0,0.0,3.0,117.0,465.0,575.0,591.0
2026-05-07T17:04:57,07/05/2026 17:00:01,49.99,MESCOM,0.0,0.0,36.0,0.0,0.0,37.0,36.0
2026-05-07T17:04:57,07/05/2026 17:00:01,49.99,CESC,1.0,1.0,28.0,38.0,115.0,185.0,183.0
2026-05-07T17:04:57,07/05/2026 17:00:01,49.99,GESCOM,1.0,40.0,0.0,68.0,465.0,548.0,574.0
2026-05-07T17:04:57,07/05/2026 17:00:01,49.99,HESCOM,0.0,122.0,0.0,445.0,255.0,790.0,822.0
2026-05-07T17:04:57,07/05/2026 17:00:01,49.99,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,533.0,0.0,533.0
2026-05-07T17:04:57,07/05/2026 17:00:01,49.99,TOTAL_IPPS,9.0,164.0,69.0,670.0,1828.0,2749.0,2740.0
2026-05-07T17:05:57,07/05/2026 17:00:01,49.99,BESCOM,6.0,0.0,3.0,117.0,465.0,575.0,591.0
2026-05-07T17:05:57,07/05/2026 17:00:01,49.99,MESCOM,0.0,0.0,36.0,0.0,0.0,37.0,36.0
2026-05-07T17:05:57,07/05/2026 17:00:01,49.99,CESC,1.0,1.0,28.0,38.0,115.0,185.0,183.0
2026-05-07T17:05:57,07/05/2026 17:00:01,49.99,GESCOM,1.0,40.0,0.0,68.0,465.0,548.0,574.0
2026-05-07T17:05:57,07/05/2026 17:00:01,49.99,HESCOM,0.0,122.0,0.0,445.0,255.0,790.0,822.0
2026-05-07T17:05:57,07/05/2026 17:00:01,49.99,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,533.0,0.0,533.0
2026-05-07T17:05:57,07/05/2026 17:00:01,49.99,TOTAL_IPPS,9.0,164.0,69.0,670.0,1828.0,2749.0,2740.0
2026-05-07T17:06:57,07/05/2026 17:00:01,49.99,BESCOM,6.0,0.0,3.0,117.0,465.0,575.0,591.0
2026-05-07T17:06:57,07/05/2026 17:00:01,49.99,MESCOM,0.0,0.0,36.0,0.0,0.0,37.0,36.0
2026-05-07T17:06:57,07/05/2026 17:00:01,49.99,CESC,1.0,1.0,28.0,38.0,115.0,185.0,183.0
2026-05-07T17:06:57,07/05/2026 17:00:01,49.99,GESCOM,1.0,40.0,0.0,68.0,465.0,548.0,574.0
2026-05-07T17:06:57,07/05/2026 17:00:01,49.99,HESCOM,0.0,122.0,0.0,445.0,255.0,790.0,822.0
2026-05-07T17:06:57,07/05/2026 17:00:01,49.99,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,533.0,0.0,533.0
2026-05-07T17:06:57,07/05/2026 17:00:01,49.99,TOTAL_IPPS,9.0,164.0,69.0,670.0,1828.0,2749.0,2740.0
2026-05-07T17:07:57,07/05/2026 17:00:01,49.99,BESCOM,6.0,0.0,3.0,117.0,465.0,575.0,591.0
2026-05-07T17:07:57,07/05/2026 17:00:01,49.99,MESCOM,0.0,0.0,36.0,0.0,0.0,37.0,36.0
2026-05-07T17:07:57,07/05/2026 17:00:01,49.99,CESC,1.0,1.0,28.0,38.0,115.0,185.0,183.0
2026-05-07T17:07:57,07/05/2026 17:00:01,49.99,GESCOM,1.0,40.0,0.0,68.0,465.0,548.0,574.0
2026-05-07T17:07:57,07/05/2026 17:00:01,49.99,HESCOM,0.0,122.0,0.0,445.0,255.0,790.0,822.0
2026-05-07T17:07:57,07/05/2026 17:00:01,49.99,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,533.0,0.0,533.0
2026-05-07T17:07:57,07/05/2026 17:00:01,49.99,TOTAL_IPPS,9.0,164.0,69.0,670.0,1828.0,2749.0,2740.0
2026-05-07T17:08:57,07/05/2026 17:00:01,49.99,BESCOM,6.0,0.0,3.0,117.0,465.0,575.0,591.0
2026-05-07T17:08:57,07/05/2026 17:00:01,49.99,MESCOM,0.0,0.0,36.0,0.0,0.0,37.0,36.0
2026-05-07T17:08:57,07/05/2026 17:00:01,49.99,CESC,1.0,1.0,28.0,38.0,115.0,185.0,183.0
2026-05-07T17:08:57,07/05/2026 17:00:01,49.99,GESCOM,1.0,40.0,0.0,68.0,465.0,548.0,574.0
2026-05-07T17:08:57,07/05/2026 17:00:01,49.99,HESCOM,0.0,122.0,0.0,445.0,255.0,790.0,822.0
2026-05-07T17:08:57,07/05/2026 17:00:01,49.99,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,533.0,0.0,533.0
2026-05-07T17:08:57,07/05/2026 17:00:01,49.99,TOTAL_IPPS,9.0,164.0,69.0,670.0,1828.0,2749.0,2740.0
2026-05-07T17:09:57,07/05/2026 17:05:01,50.03,BESCOM,7.0,0.0,3.0,110.0,364.0,469.0,484.0
